Date,Price
2019-01-02,31499.0
2019-01-03,31878.0
2019-01-04,31807.0
2019-01-07,31557.0
2019-01-08,31598.0
2019-01-09,31985.0
2019-01-10,31971.0
2019-01-11,32107.0
2019-01-14,31998.0
2019-01-15,32250.0
2019-01-16,32389.0
2019-01-17,32498.0
2019-01-18,32103.0
2019-01-22,32345.0
2019-01-23,32238.0
2019-01-24,32105.0
2019-01-25,32488.0
2019-01-28,32606.0
2019-01-29,32804.0
2019-01-30,33092.0
2019-01-31,33107.0
2019-02-01,33074.0
2019-02-04,33125.0
2019-02-05,33231.0
2019-02-06,33151.0
2019-02-07,33042.0
2019-02-08,33169.0
2019-02-11,32802.0
2019-02-12,32894.0
2019-02-13,32740.0
2019-02-14,32741.0
2019-02-15,33015.0
2019-02-19,33893.0
2019-02-20,33926.0
2019-02-21,33286.0
2019-02-22,33375.0
2019-02-25,33221.0
2019-02-26,33228.0
2019-02-27,32973.0
2019-02-28,32966.0
2019-03-01,32383.0
2019-03-04,32172.0
2019-03-05,32061.0
2019-03-06,32063.0
2019-03-07,31864.0
2019-03-08,32248.0
2019-03-11,31816.0
2019-03-12,31911.0
2019-03-13,32213.0
2019-03-14,31811.0
2019-03-15,31839.0
2019-03-18,31626.0
2019-03-19,31586.0
2019-03-20,31798.0
2019-03-21,31708.0
2019-03-22,31890.0
2019-03-25,32248.0
2019-03-26,31953.0
2019-03-27,32079.0
2019-03-28,31560.0
2019-03-29,31698.0
2019-04-01,31553.0
2019-04-02,31486.0
2019-04-03,31354.0
2019-04-04,31304.0
2019-04-05,31393.0
2019-04-08,31643.0
2019-04-09,31979.0
2019-04-10,31983.0
2019-04-11,31427.0
2019-04-12,31607.0
2019-04-15,31392.0
2019-04-16,31337.0
2019-04-17,31361.0
2019-04-18,31136.0
2019-04-22,31157.0
2019-04-23,31369.0
2019-04-24,31385.0
2019-04-25,31544.0
2019-04-26,31799.0
2019-04-29,31499.0
2019-04-30,31589.0
2019-05-01,31439.0
2019-05-02,31186.0
2019-05-03,31326.0
2019-05-06,31271.0
2019-05-07,31420.0
2019-05-08,31550.0
2019-05-09,31696.0
2019-05-10,31932.0
2019-05-13,32066.0
2019-05-14,32250.0
2019-05-15,32148.0
2019-05-16,31823.0
2019-05-17,31575.0
2019-05-20,31635.0
2019-05-21,31465.0
2019-05-23,31711.0
2019-05-24,31654.0
2019-05-28,31392.0
2019-05-29,31563.0
2019-05-30,31696.0
2019-05-31,32233.0
2019-06-03,32459.0
2019-06-04,32285.0
